population,population_definition,source,source_denominator_n,code_a,label_a,code_b,label_b,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,cashout_laundering_service,Cash-out or laundering service,mule_recruitment,Mule recruitment or account-holder solicitation,0,9,0,84,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,cashout_laundering_service,Cash-out or laundering service,telegram_off_platform,Telegram or private-channel coordination reference,0,9,0,84,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,cashout_laundering_service,Cash-out or laundering service,tutorial_training_recruitment,"Tutorial, guide, or training content",8,1,4,80,0.615385,6.888889
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,email_access_takeover,Email-access-enabled account takeover,2,12,5,74,0.105263,1.897959
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",0,14,0,79,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,fullz_identity_package,Fullz or identity package,6,8,18,61,0.1875,1.660714
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,jurisdiction_localisation,Jurisdiction-specific bank or account reference,4,10,9,70,0.173913,2.043956
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,mule_recruitment,Mule recruitment or account-holder solicitation,0,14,0,79,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,telegram_off_platform,Telegram or private-channel coordination reference,0,14,0,79,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,tutorial_training_recruitment,"Tutorial, guide, or training content",2,12,10,69,0.083333,1.107143
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,email_access_takeover,Email-access-enabled account takeover,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",0,7,0,86,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,email_access_takeover,Email-access-enabled account takeover,fullz_identity_package,Fullz or identity package,5,2,19,67,0.192308,2.767857
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,email_access_takeover,Email-access-enabled account takeover,jurisdiction_localisation,Jurisdiction-specific bank or account reference,3,4,10,76,0.176471,3.065934
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,email_access_takeover,Email-access-enabled account takeover,mule_recruitment,Mule recruitment or account-holder solicitation,0,7,0,86,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,10. Tor Shop,93,email_access_takeover,Email-access-enabled account takeover,telegram_off_platform,Telegram or private-channel coordination reference,0,7,0,86,0.0,0.0
