population,population_definition,source,source_denominator_n,markdown_present_n,ocr_present_n,markdown_and_ocr_present_n,neither_modality_present_n,code,label,source_positive_records_n,within_source_percent,all_sources_positive_records_n,source_share_of_positive_records
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,6,6,6,6,0,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",0,0.0,120,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,6,6,6,6,0,fullz_identity_package,Fullz or identity package,0,0.0,124,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,6,6,6,6,0,jurisdiction_localisation,Jurisdiction-specific bank or account reference,0,0.0,116,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,6,6,6,6,0,mule_recruitment,Mule recruitment or account-holder solicitation,0,0.0,9,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,6,6,6,6,0,telegram_off_platform,Telegram or private-channel coordination reference,0,0.0,81,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,12. TORCH Tor Search,6,6,6,6,0,tutorial_training_recruitment,"Tutorial, guide, or training content",0,0.0,104,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,1,1,0,0,0,bank_drop_sale,Bank drop sale or bank-drop infrastructure,0,0.0,116,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,1,1,0,0,0,bank_log_sale,Compromised bank log sale or discussion,0,0.0,177,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,1,1,0,0,0,cashout_laundering_service,Cash-out or laundering service,0,0.0,118,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,1,1,0,0,0,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,0,0.0,126,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,1,1,0,0,0,email_access_takeover,Email-access-enabled account takeover,0,0.0,62,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,1,1,0,0,0,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",0,0.0,120,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,1,1,0,0,0,fullz_identity_package,Fullz or identity package,0,0.0,124,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,1,1,0,0,0,jurisdiction_localisation,Jurisdiction-specific bank or account reference,0,0.0,116,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,1,1,0,0,0,mule_recruitment,Mule recruitment or account-holder solicitation,0,0.0,9,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,1,1,0,0,0,telegram_off_platform,Telegram or private-channel coordination reference,0,0.0,81,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,13. Bank Logs,1,1,0,0,0,tutorial_training_recruitment,"Tutorial, guide, or training content",0,0.0,104,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,4,4,3,3,0,bank_drop_sale,Bank drop sale or bank-drop infrastructure,0,0.0,116,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,4,4,3,3,0,bank_log_sale,Compromised bank log sale or discussion,1,25.0,177,0.00565
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,4,4,3,3,0,cashout_laundering_service,Cash-out or laundering service,0,0.0,118,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,4,4,3,3,0,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,3,75.0,126,0.02381
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,4,4,3,3,0,email_access_takeover,Email-access-enabled account takeover,0,0.0,62,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,4,4,3,3,0,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",0,0.0,120,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,4,4,3,3,0,fullz_identity_package,Fullz or identity package,0,0.0,124,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,4,4,3,3,0,jurisdiction_localisation,Jurisdiction-specific bank or account reference,1,25.0,116,0.008621
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,4,4,3,3,0,mule_recruitment,Mule recruitment or account-holder solicitation,0,0.0,9,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,4,4,3,3,0,telegram_off_platform,Telegram or private-channel coordination reference,0,0.0,81,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,14. Lonely Road,4,4,3,3,0,tutorial_training_recruitment,"Tutorial, guide, or training content",0,0.0,104,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,6,6,5,5,0,bank_drop_sale,Bank drop sale or bank-drop infrastructure,1,16.667,116,0.008621
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,6,6,5,5,0,bank_log_sale,Compromised bank log sale or discussion,3,50.0,177,0.016949
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,6,6,5,5,0,cashout_laundering_service,Cash-out or laundering service,3,50.0,118,0.025424
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,6,6,5,5,0,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,4,66.667,126,0.031746
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,6,6,5,5,0,email_access_takeover,Email-access-enabled account takeover,1,16.667,62,0.016129
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,6,6,5,5,0,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",3,50.0,120,0.025
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,6,6,5,5,0,fullz_identity_package,Fullz or identity package,0,0.0,124,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,6,6,5,5,0,jurisdiction_localisation,Jurisdiction-specific bank or account reference,1,16.667,116,0.008621
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,6,6,5,5,0,mule_recruitment,Mule recruitment or account-holder solicitation,0,0.0,9,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,6,6,5,5,0,telegram_off_platform,Telegram or private-channel coordination reference,4,66.667,81,0.049383
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,15. Tenebris,6,6,5,5,0,tutorial_training_recruitment,"Tutorial, guide, or training content",3,50.0,104,0.028846
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,3,3,3,3,0,bank_drop_sale,Bank drop sale or bank-drop infrastructure,1,33.333,116,0.008621
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,3,3,3,3,0,bank_log_sale,Compromised bank log sale or discussion,0,0.0,177,0.0
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,17. XmrBazaar,3,3,3,3,0,cashout_laundering_service,Cash-out or laundering service,0,0.0,118,0.0
