population,population_definition,denominator_n,code_a,label_a,code_b,label_b,code_a_present_n,code_b_present_n,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift
full_screened,All combined records evaluated by the deterministic screen,980,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",telegram_off_platform,Telegram or private-channel coordination reference,121,82,26,95,56,803,0.146893,2.568031
full_screened,All combined records evaluated by the deterministic screen,980,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",tutorial_training_recruitment,"Tutorial, guide, or training content",121,104,37,84,67,792,0.196809,2.881437
full_screened,All combined records evaluated by the deterministic screen,980,fullz_identity_package,Fullz or identity package,jurisdiction_localisation,Jurisdiction-specific bank or account reference,124,117,44,80,73,783,0.22335,2.972153
full_screened,All combined records evaluated by the deterministic screen,980,fullz_identity_package,Fullz or identity package,mule_recruitment,Mule recruitment or account-holder solicitation,124,9,4,120,5,851,0.031008,3.512545
full_screened,All combined records evaluated by the deterministic screen,980,fullz_identity_package,Fullz or identity package,telegram_off_platform,Telegram or private-channel coordination reference,124,82,30,94,52,804,0.170455,2.891424
full_screened,All combined records evaluated by the deterministic screen,980,fullz_identity_package,Fullz or identity package,tutorial_training_recruitment,"Tutorial, guide, or training content",124,104,40,84,64,792,0.212766,3.039702
full_screened,All combined records evaluated by the deterministic screen,980,jurisdiction_localisation,Jurisdiction-specific bank or account reference,mule_recruitment,Mule recruitment or account-holder solicitation,117,9,4,113,5,858,0.032787,3.722697
full_screened,All combined records evaluated by the deterministic screen,980,jurisdiction_localisation,Jurisdiction-specific bank or account reference,telegram_off_platform,Telegram or private-channel coordination reference,117,82,18,99,64,799,0.099448,1.838649
full_screened,All combined records evaluated by the deterministic screen,980,jurisdiction_localisation,Jurisdiction-specific bank or account reference,tutorial_training_recruitment,"Tutorial, guide, or training content",117,104,30,87,74,789,0.157068,2.416174
full_screened,All combined records evaluated by the deterministic screen,980,mule_recruitment,Mule recruitment or account-holder solicitation,telegram_off_platform,Telegram or private-channel coordination reference,9,82,7,2,75,896,0.083333,9.295393
full_screened,All combined records evaluated by the deterministic screen,980,mule_recruitment,Mule recruitment or account-holder solicitation,tutorial_training_recruitment,"Tutorial, guide, or training content",9,104,5,4,99,872,0.046296,5.235043
full_screened,All combined records evaluated by the deterministic screen,980,telegram_off_platform,Telegram or private-channel coordination reference,tutorial_training_recruitment,"Tutorial, guide, or training content",82,104,29,53,75,823,0.184713,3.332552
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_drop_sale,Bank drop sale or bank-drop infrastructure,bank_log_sale,Compromised bank log sale or discussion,116,177,76,40,101,246,0.35023,1.713813
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_drop_sale,Bank drop sale or bank-drop infrastructure,cashout_laundering_service,Cash-out or laundering service,116,118,31,85,87,260,0.152709,1.048583
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_drop_sale,Bank drop sale or bank-drop infrastructure,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,116,126,38,78,88,259,0.186275,1.203749
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_drop_sale,Bank drop sale or bank-drop infrastructure,email_access_takeover,Email-access-enabled account takeover,116,62,28,88,34,313,0.186667,1.802558
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_drop_sale,Bank drop sale or bank-drop infrastructure,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",116,120,33,83,87,260,0.162562,1.097629
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_drop_sale,Bank drop sale or bank-drop infrastructure,fullz_identity_package,Fullz or identity package,116,124,60,56,64,283,0.333333,1.931313
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_drop_sale,Bank drop sale or bank-drop infrastructure,jurisdiction_localisation,Jurisdiction-specific bank or account reference,116,116,62,54,54,293,0.364706,2.133323
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_drop_sale,Bank drop sale or bank-drop infrastructure,mule_recruitment,Mule recruitment or account-holder solicitation,116,9,4,112,5,342,0.033058,1.773946
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_drop_sale,Bank drop sale or bank-drop infrastructure,telegram_off_platform,Telegram or private-channel coordination reference,116,81,13,103,68,279,0.070652,0.640592
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_drop_sale,Bank drop sale or bank-drop infrastructure,tutorial_training_recruitment,"Tutorial, guide, or training content",116,104,38,78,66,281,0.208791,1.458389
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_log_sale,Compromised bank log sale or discussion,cashout_laundering_service,Cash-out or laundering service,177,118,66,111,52,234,0.28821,1.463085
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_log_sale,Compromised bank log sale or discussion,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,177,126,77,100,49,237,0.340708,1.598556
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_log_sale,Compromised bank log sale or discussion,email_access_takeover,Email-access-enabled account takeover,177,62,53,124,9,277,0.284946,2.236104
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_log_sale,Compromised bank log sale or discussion,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",177,120,48,129,72,214,0.192771,1.046328
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_log_sale,Compromised bank log sale or discussion,fullz_identity_package,Fullz or identity package,177,124,60,117,64,222,0.248963,1.265719
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_log_sale,Compromised bank log sale or discussion,jurisdiction_localisation,Jurisdiction-specific bank or account reference,177,116,73,104,43,243,0.331818,1.646162
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_log_sale,Compromised bank log sale or discussion,mule_recruitment,Mule recruitment or account-holder solicitation,177,9,7,170,2,284,0.039106,2.034526
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_log_sale,Compromised bank log sale or discussion,telegram_off_platform,Telegram or private-channel coordination reference,177,81,24,153,57,229,0.102564,0.775058
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,bank_log_sale,Compromised bank log sale or discussion,tutorial_training_recruitment,"Tutorial, guide, or training content",177,104,62,115,42,244,0.283105,1.559431
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,cashout_laundering_service,Cash-out or laundering service,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,118,126,59,59,67,278,0.318919,1.837302
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,cashout_laundering_service,Cash-out or laundering service,email_access_takeover,Email-access-enabled account takeover,118,62,15,103,47,298,0.090909,0.949289
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,cashout_laundering_service,Cash-out or laundering service,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",118,120,32,86,88,257,0.15534,1.046328
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,cashout_laundering_service,Cash-out or laundering service,fullz_identity_package,Fullz or identity package,118,124,34,84,90,255,0.163462,1.075861
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,cashout_laundering_service,Cash-out or laundering service,jurisdiction_localisation,Jurisdiction-specific bank or account reference,118,116,33,85,83,262,0.164179,1.116233
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,cashout_laundering_service,Cash-out or laundering service,mule_recruitment,Mule recruitment or account-holder solicitation,118,9,7,111,2,343,0.058333,3.051789
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,cashout_laundering_service,Cash-out or laundering service,telegram_off_platform,Telegram or private-channel coordination reference,118,81,39,79,42,303,0.24375,1.889203
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,cashout_laundering_service,Cash-out or laundering service,tutorial_training_recruitment,"Tutorial, guide, or training content",118,104,46,72,58,287,0.261364,1.735495
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,email_access_takeover,Email-access-enabled account takeover,126,62,17,109,45,292,0.099415,1.007552
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",126,120,52,74,68,269,0.268041,1.592328
