source,keyword,file_count,hit_count
7. Meta Banklogs,canada,2,10
7. Meta Banklogs,cashout,6,13
7. Meta Banklogs,crypto,4,17
7. Meta Banklogs,email_access,8,11
7. Meta Banklogs,escrow_trust,1,2
7. Meta Banklogs,fullz_identity,12,35
7. Meta Banklogs,mule,0,0
7. Meta Banklogs,scam_market_risk,2,4
7. Meta Banklogs,telegram,0,0
7. Meta Banklogs,tutorial_training,5,16
7. Meta Banklogs,usa,25,102
7. Meta Banklogs,vulnerable_groups,0,0
8. Secure ccSeller,australia_nz,0,0
8. Secure ccSeller,bank_drop,0,0
8. Secure ccSeller,bank_log,0,0
8. Secure ccSeller,bec,0,0
8. Secure ccSeller,canada,0,0
8. Secure ccSeller,cashout,0,0
8. Secure ccSeller,crypto,1,3
8. Secure ccSeller,email_access,0,0
8. Secure ccSeller,escrow_trust,1,1
8. Secure ccSeller,fullz_identity,1,1
8. Secure ccSeller,mule,0,0
8. Secure ccSeller,scam_market_risk,0,0
8. Secure ccSeller,telegram,0,0
8. Secure ccSeller,tutorial_training,0,0
8. Secure ccSeller,usa,0,0
8. Secure ccSeller,vulnerable_groups,0,0
9. Deep Shop,australia_nz,1,1
9. Deep Shop,bank_drop,0,0
9. Deep Shop,bank_log,9,34
9. Deep Shop,bec,0,0
9. Deep Shop,canada,1,1
9. Deep Shop,cashout,1,2
9. Deep Shop,crypto,0,0
9. Deep Shop,email_access,1,2
9. Deep Shop,escrow_trust,0,0
9. Deep Shop,fullz_identity,0,0
9. Deep Shop,mule,0,0
9. Deep Shop,scam_market_risk,0,0
9. Deep Shop,telegram,1,1
9. Deep Shop,tutorial_training,1,3
9. Deep Shop,usa,2,2
9. Deep Shop,vulnerable_groups,0,0
